spcode,common,genus,spec,the_geom,cartodb_id,created_at,updated_at
ABBA,Balsam Fir,Abies,balsamea,,1,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
ACCA,Hedge Maple,Acer,campestre,,5,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
ACGI,Amur Maple,Acer,ginnala,,6,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
ACPA,Japanese Maple,Acer,palmatum,,10,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
ACPL,Norway Maple,Acer,platanoides,,11,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
ACPLCR,Norway Maple Crimson King,Acer,platanoides 'Crimson King',,12,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
ACPS,Sycamore Maple,Acer,pseudoplatanus,,13,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
ACRU,Red Maple,Acer,rubrum,,14,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
ACSA1,Silver Maple,Acer,saccharinum,,15,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
ACSA2,Sugar Maple,Acer,saccharum,,16,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
AEHI,Horsechestnut,Aesculus,hippocastanum,,22,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
AIAL,Tree of Heaven,Ailanthus,altissima,,23,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
AM,Serviceberry,Amelanchier,arborea,,26,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
BE,Birch,Betula,,,27,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
CA,,,,,33,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
CA1,,,,,34,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
CABE,European Hornbeam,Carpinus,betulus,,35,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
CADE,,,,,37,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
CECA,Eastern Redbud,Cercis,canadensis,,44,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
CEDE,,,,,45,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
CEJA,Katsura Tree,Cercidiphyllum,japonicum,,46,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
CEOC,Hackberry,Celtis,occidentalis,,47,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
CO2,,,,,51,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
COCO2,,,,,55,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
COCO3,,,,,56,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
COFL,Flowering Dogwood,Cornus,florida,,58,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
CR,Hawthorn,Crataegus,monogyna,,61,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
FRPE,Green Ash,Fraxinus,pennsylvanica,,69,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
GIBI,Ginkgo,Ginkgo,biloba,,70,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
GLTR,Honeylocust,Gleditsia,triacanthos,,71,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
GYDI,Kentucky Coffeetree,Gymnocladus,dioicus,,72,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
ILSP,,,,,77,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
KOPA,Goldenrain Tree,Koelreuteria,paniculata,,82,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
LIST,Sweetgum,Liquidambar,styraciflua,,86,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
LITU,Tulip Tree,Liriodendron,tulipifera,,87,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
MA1,Magnolia,Magnolia,,,89,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
MA2,Crabapple,Malus,,,90,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
MAAC,,,,,91,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
MAAM,,,,,92,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
MAI,,,,,94,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
MAPO,,,,,95,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
MAPU,,,,,96,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
MAUI,,,,,97,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
MEGL,Dawn Redwood,Metasequoia,glyptostroboides,,98,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
MO,Mulberry,Morus,,,99,2015-04-14 05:07:34.64896+00,2015-04-14 05:07:34.64896+00
ACGR,Maple,,,,7,2015-04-14 05:07:34.64896+00,2015-04-14 05:33:36.292872+00
ACNI,Maple,,,,9,2015-04-14 05:07:34.64896+00,2015-04-14 05:33:44.642505+00
ABCO,Fir,,,,2,2015-04-14 05:07:34.64896+00,2015-04-14 05:33:53.688871+00
ACBU,Maple,,,,4,2015-04-14 05:07:34.64896+00,2015-04-14 05:35:16.121223+00
AC,Maple,,,,3,2015-04-14 05:07:34.64896+00,2015-04-14 05:35:19.63737+00
AECA,California Buckeye,Aesculus,californica,,20,2015-04-14 05:07:34.64896+00,2015-04-14 05:37:35.094813+00
BENI,River Birch,Betula,nigra,,29,2015-04-14 05:07:34.64896+00,2015-04-14 05:39:08.801454+00
ALJU,Silk Tree,Albizia,julibrissin,,25,2015-04-14 05:07:34.64896+00,2015-04-14 05:38:33.552157+00
CEAT,Atlas Cedar,Cedrus,atlantica,,43,2015-04-14 05:07:34.64896+00,2015-04-14 05:46:51.098923+00
