TREEID,OBJECTID,ONSTREET,PARITY,CROSSSTREE,CROSSSTR_1,Location plain text,y,x,TREELOCATI,SITE,TREEPIT,TREECONDIT,DIAMETER,SPECIES,BOROUGH,ZIPCODE,FID_1,COMMDIST
11775,2516,MORGAN AVENUE,odd,JOHNSON AVENUE,MESEROLE STREET,"411 JOHNSON AVENUE, Brooklyn, NY",-73.93806825, 40.7098704,1,8,2,1,5,ZESE,Brooklyn,11206,28,301
11778,2524,MORGAN AVENUE,odd,JOHNSON AVENUE,MESEROLE STREET,"411 JOHNSON AVENUE, Brooklyn, NY",-73.9324764, 40.7078118,2,8,2,1,5,UNK,Brooklyn,11206,28,301
11782,2526,MORGAN AVENUE,odd,JOHNSON AVENUE,MESEROLE STREET,"411 JOHNSON AVENUE, Brooklyn, NY",-73.9324764, 40.7078118,3,8,2,1,3,SYRE,Brooklyn,11206,28,301
11784,2527,MORGAN AVENUE,even,MESEROLE STREET,SCHOLES STREET,"154 MORGAN AVENUE, Brooklyn, NY",-73.9324764, 40.7078118,1,1,3,2,23,PLAC,Brooklyn,11237,28,301
11783,2528,MORGAN AVENUE,even,JOHNSON AVENUE,MESEROLE STREET,"110 MORGAN AVENUE, Brooklyn, NY",-73.932249, 40.707893,1,1,1,1,7,GIBI,Brooklyn,11237,28,301
11786,2529,MORGAN AVENUE,even,MESEROLE STREET,SCHOLES STREET,"154 MORGAN AVENUE, Brooklyn, NY",-73.9323760815, 40.7100389,2,1,3,2,29,PLAC,Brooklyn,11237,28,301
11808,2533,MORGAN AVENUE,odd,SCHOLES STREET,STAGG STREET,"179 MORGAN AVENUE, Brooklyn, NY",-73.9323760815, 40.7100389,1,1,1,2,10,GLTR,Brooklyn,11237,28,301
11813,2534,MORGAN AVENUE,odd,SCHOLES STREET,STAGG STREET,"191 MORGAN AVENUE, Brooklyn, NY",-73.9337483235, 40.7103177,1,1,1,2,8,GIBI,Brooklyn,11237,28,301
11788,2536,MORGAN AVENUE,even,MESEROLE STREET,SCHOLES STREET,"154 MORGAN AVENUE, Brooklyn, NY",-73.9336682, 40.7105263,3,1,3,2,28,PLAC,Brooklyn,11237,28,301
11792,2537,MORGAN AVENUE,odd,MESEROLE STREET,SCHOLES STREET,"157 MORGAN AVENUE, Brooklyn, NY",-73.9323760815, 40.7100389,1,1,1,1,11,GLTR,Brooklyn,11237,28,301
11796,2538,MORGAN AVENUE,odd,MESEROLE STREET,SCHOLES STREET,"165 MORGAN AVENUE, Brooklyn, NY",-73.9333921965, 40.70951375,1,1,1,1,6,GIBI,Brooklyn,11237,28,301
11857,2549,STAGG STREET,even,BUSHWICK AVENUE,WATERBURY STREET,"252 STAGG STREET, Brooklyn, NY",-73.9333044286, 40.7097511428571,1,1,1,2,2,TICO,Brooklyn,11206,28,301
11846,2554,STAGG STREET,even,BUSHWICK AVENUE,WATERBURY STREET,"254 STAGG STREET, Brooklyn, NY",-73.9390089, 40.70970735,1,1,1,3,2,TICO,Brooklyn,11206,28,301
11866,2557,STAGG STREET,even,BUSHWICK AVENUE,WATERBURY STREET,"244 STAGG STREET, Brooklyn, NY",-73.9393944012, 40.70962985,1,1,1,2,2,GLTR,Brooklyn,11206,28,301
11873,2559,STAGG STREET,even,BUSHWICK AVENUE,WATERBURY STREET,"242 STAGG STREET, Brooklyn, NY",-73.9389430447, 40.7097341,1,1,1,2,3,GLTR,Brooklyn,11206,28,301
11889,2563,STAGG STREET,odd,BUSHWICK AVENUE,WATERBURY STREET,"274 STAGG STREET, Brooklyn, NY",-73.93806825, 40.7098704,1,4,1,1,7,FRPE,Brooklyn,11206,28,301
11896,2564,STAGG STREET,odd,BUSHWICK AVENUE,WATERBURY STREET,"274 STAGG STREET, Brooklyn, NY",-73.93948675, 40.7096624,2,4,1,1,7,FRPE,Brooklyn,11206,28,301
11903,2566,STAGG STREET,odd,BUSHWICK AVENUE,WATERBURY STREET,"268 STAGG STREET, Brooklyn, NY",-73.93806825, 40.7098704,1,4,1,1,10,FRPE,Brooklyn,11206,28,301
11905,2567,STAGG STREET,odd,BUSHWICK AVENUE,WATERBURY STREET,"267 STAGG STREET, Brooklyn, NY",-73.9383281262, 40.7098248,1,4,1,3,3,GLTR,Brooklyn,11206,28,301
11878,2568,STAGG STREET,even,BUSHWICK AVENUE,WATERBURY STREET,"171 BUSHWICK AVENUE, Brooklyn, NY",-73.9388542414, 40.7100268275862,1,2,1,2,5,STJA2,Brooklyn,11206,28,301
11907,2576,STAGG STREET,odd,BUSHWICK AVENUE,WATERBURY STREET,"258 STAGG STREET, Brooklyn, NY",-73.9400115, 40.7097265,1,4,1,3,3,GLTR,Brooklyn,11206,28,301
11909,2577,STAGG STREET,odd,BUSHWICK AVENUE,WATERBURY STREET,"254 STAGG STREET, Brooklyn, NY",-73.9387716236, 40.70978335,1,4,1,3,2,GLTR,Brooklyn,11206,28,301
11917,2580,STAGG STREET,odd,BUSHWICK AVENUE,WATERBURY STREET,"246 STAGG STREET, Brooklyn, NY",-73.9389430447, 40.7097341,1,4,1,3,2,GLTR,Brooklyn,11206,28,301
11921,2581,BUSHWICK AVENUE,even,GRAND STREET,STAGG STREET,"136 BUSHWICK AVENUE, Brooklyn, NY",-73.9393090739, 40.70970265,2,1,1,1,5,TITO,Brooklyn,11206,28,301
11924,2582,BUSHWICK AVENUE,even,GRAND STREET,STAGG STREET,"233 STAGG WALK, Brooklyn, NY",-73.9406254, 40.7100784,1,3,1,2,4,TICO,Brooklyn,11206,28,301
11932,2583,BUSHWICK AVENUE,odd,SCHOLES STREET,MESEROLE STREET,"204 BUSHWICK AVENUE, Brooklyn, NY",-73.940199, 40.708882,1,4,1,2,4,GYDI,Brooklyn,11206,28,301
11913,2585,STAGG STREET,odd,BUSHWICK AVENUE,WATERBURY STREET,"252 STAGG STREET, Brooklyn, NY",-73.9405047, 40.7107144,1,4,1,4,2,,Brooklyn,11206,28,301
11923,2588,BUSHWICK AVENUE,even,GRAND STREET,STAGG STREET,"136 BUSHWICK AVENUE, Brooklyn, NY",-73.9405047, 40.7107144,1,1,1,1,5,TITO,Brooklyn,11206,28,301
11926,2589,BUSHWICK AVENUE,even,GRAND STREET,STAGG STREET,"235 STAGG WALK, Brooklyn, NY",-73.9390089, 40.70970735,1,3,1,3,3,TICO,Brooklyn,11206,28,301
11934,2590,BUSHWICK AVENUE,odd,SCHOLES STREET,MESEROLE STREET,"204 BUSHWICK AVENUE, Brooklyn, NY",-73.9405584, 40.709957,2,4,1,2,4,GYDI,Brooklyn,11206,28,301
11937,2591,BUSHWICK AVENUE,odd,SCHOLES STREET,MESEROLE STREET,"206 BUSHWICK AVENUE, Brooklyn, NY",-73.940199, 40.708882,1,4,1,1,4,GYDI,Brooklyn,11206,28,301
