DIAMETER,SPECIES,longitude,latitude
5,QURU,-73.938861,40.675357
9,,-73.938861,40.675357
11,ACSA2,-73.939714,40.676315
11,UNK,-73.938861,40.675357
13,ULAM,-73.93983,40.676321
22,PLAC,-73.939941,40.676329
5,UNK,-73.940223,40.676343
5,UNK,-73.940944,40.676272
4,ACGI,-73.939223,40.67707
8,ULAM,-73.940111,40.676337
19,UNK,-73.940392,40.676351
6,UNK,-73.940944,40.676272
4,PYCA,-73.939566,40.677089
3,PYCA,-73.939735,40.677097
3,PYCA,-73.93945,40.677084
15,ACSA2,-73.939793,40.6771
3,ACGI,-73.939908,40.677108
5,TICO,-73.940078,40.677117
5,UNK,-73.940251,40.677125
4,PRCE,-73.940363,40.677133
18,QUPA,-73.940536,40.677142
4,UNK,-73.94042,40.677136
16,ACSA2,-73.940647,40.677147
0,,-73.941047,40.677169
3,PRCE,-73.940763,40.677153
20,QUPA,-73.939663,40.677111
13,QUPA,-73.939605,40.677108
15,QUPA,-73.939717,40.677114
21,QUPA,-73.939771,40.677117
19,QUPA,-73.939883,40.677122
3,GIBI,-73.939937,40.677125
0,,-73.940381,40.67715
18,QUPA,-73.940049,40.67713
2,PRCE,-73.940438,40.677153
13,ACSA2,-73.940546,40.677158
6,STJA2,-73.94077,40.677169
0,,-73.940604,40.677161
3,PRCE,-73.940658,40.677164
20,QUPA,-73.940712,40.677167
7,GLTR,-73.940692,40.675586
7,GLTR,-73.941186,40.67561
3,PRCE,-73.940936,40.67718
14,UNK,-73.940017,40.676348
14,UNK,-73.940453,40.676373
14,ACSA2,-73.940291,40.676362
22,PLAC,-73.940125,40.676354
5,TICO,-73.939527,40.676323
15,ACSA2,-73.939801,40.676337
7,GLTR,-73.939419,40.676318
2,GLTR,-73.939365,40.676315
14,UNK,-73.938766,40.676389
15,PLAC,-73.939114,40.674602
15,PLAC,-73.939114,40.674602
7,TICO,-73.939965,40.674646
3,TICO,-73.939965,40.674646
3,TICO,-73.939965,40.674646
17,PLAC,-73.940033,40.674652
17,PLAC,-73.940033,40.674652
15,PLAC,-73.94017,40.674658
11,PLAC,-73.940379,40.674671
4,TICO,-73.940448,40.674674
3,TICO,-73.940448,40.674674
4,TICO,-73.940448,40.674674
2,TICO,-73.940895,40.674699
6,ACSA2,-73.941068,40.674707
9,STJA2,-73.938861,40.675357
9,STJA2,-73.938861,40.675357
8,UNK,-73.939495,40.675519
9,TICO,-73.939766,40.675533
9,STJA2,-73.939603,40.675525
8,GLTR,-73.939874,40.675538
13,GLTR,-73.939928,40.675541
8,TICO,-73.940039,40.675549
7,GLTR,-73.940148,40.675555
8,TICO,-73.940256,40.675561
4,TICO,-73.935954,40.676483
0,,-73.935954,40.676483
9,GLTR,-73.935954,40.676483
11,GLTR,-73.935954,40.676483
28,QUPA,-73.934917,40.675264
25,QUPA,-73.934917,40.675264
8,QUPA,-73.934917,40.675264
11,QUPA,-73.934917,40.675264
26,QUPA,-73.934917,40.675264
20,QUPA,-73.934917,40.675264
8,QURU,-73.934917,40.675264
22,QUPA,-73.934917,40.675264
21,QUPA,-73.934917,40.675264
7,QUPA,-73.934917,40.675264
20,QUPA,-73.934917,40.675264
22,QUPA,-73.934917,40.675264
17,QUPA,-73.934917,40.675264
19,QUPA,-73.934917,40.675264
19,QUPA,-73.934917,40.675264
19,QUPA,-73.934917,40.675264
7,QUPA,-73.934917,40.675264
8,QUPA,-73.934917,40.675264
5,TICO,-73.934917,40.675264
7,QUPA,-73.934917,40.675264
9,QUPA,-73.934917,40.675264
11,CABE,-73.934917,40.675264
0,,-73.936613,40.669682
5,,-73.93456,40.667998
3,QUPA,-73.93456,40.667998
34,PLAC,-73.934783,40.668012
15,ACPL,-73.935944,40.668076
20,QUPA,-73.935338,40.668043
7,ZESE,-73.934636,40.667205
28,CA1,-73.934586,40.667186
22,ACPL,-73.934644,40.667189
3,STJA2,-73.934813,40.6672
12,QUAL,-73.93504,40.667211
14,QUPA,-73.93504,40.667211
27,PLAC,-73.935213,40.667222
27,QUPA,-73.936222,40.668093
27,QUPA,-73.936222,40.668093
16,PLAC,-73.935648,40.668076
24,PLAC,-73.935021,40.668043
6,ZESE,-73.933972,40.668207
8,ZESE,-73.935966,40.667277
34,PLAC,-73.935635,40.667261
19,PODE,-73.935191,40.667236
26,PLAC,-73.933972,40.668207
21,PLAC,-73.933972,40.668207
0,,-73.935801,40.667269
16,ACPL,-73.935026,40.667227
19,PLAC,-73.934914,40.667222
0,,-73.935952,40.667261
0,,-73.934856,40.667219
8,PLAC,-73.934802,40.667216
7,ZESE,-73.934636,40.667205
7,ZESE,-73.934636,40.667205
20,ACPL,-73.935898,40.667258
0,,-73.93624,40.667277
4,STJA2,-73.936711,40.668653
6,GLTR,-73.936952,40.666092
3,QUPA,-73.937075,40.669114
5,STJA2,-73.936715,40.668576
5,PYCA,-73.936737,40.668351
4,QUPA,-73.93678,40.667895
6,TITO,-73.936813,40.667555
4,QURU,-73.937539,40.666455
4,STJA2,-73.936682,40.668727
3,,-73.936722,40.668502
5,PYCA,-73.936777,40.66795
4,QUPA,-73.936806,40.66761
4,QURU,-73.937539,40.666455
4,QURU,-73.937539,40.666455
3,GLTR,-73.936682,40.668727
2,QUPA,-73.93641,40.667286
4,QUPA,-73.93641,40.667286
4,QUPA,-73.93641,40.667286
3,QUPA,-73.93641,40.667286
5,QUPA,-73.936755,40.66795
5,QUPA,-73.936766,40.667835
6,QUPA,-73.936773,40.667722
4,QUPA,-73.936755,40.66795
5,QUPA,-73.93677,40.66778
7,QUPA,-73.936781,40.667665
4,PYCA,-73.936908,40.666298
4,PYCA,-73.936923,40.666109
4,PYCA,-73.93657,40.665518
5,PYCA,-73.93657,40.665518
6,QUPA,-73.936795,40.667495
4,,-73.936912,40.666235
5,PYCA,-73.93693,40.666048
5,PYCA,-73.93657,40.665518
5,STJA2,-73.937083,40.664465
6,STJA2,-73.937097,40.664286
5,GLTR,-73.937108,40.664196
8,STJA2,-73.93709,40.664374
4,GLTR,-73.937101,40.664239
0,,-73.93682,40.663742
4,,-73.934638,40.66541
5,QURU,-73.933725,40.666263
6,GLTR,-73.93335,40.666241
27,PLAC,-73.933102,40.666227
4,,-73.934638,40.66541
6,QURU,-73.933725,40.666263
6,LIST,-73.933228,40.666235
26,PLAC,-73.93304,40.666224
30,PLAC,-73.932666,40.666205
28,PLAC,-73.932417,40.666191
7,PYCA,-73.931919,40.666163
2,ZESE,-73.93273,40.666208
25,PLAC,-73.932482,40.666194
5,PYCA,-73.932294,40.666183
5,GLTR,-73.931984,40.66615
6,GLTR,-73.932107,40.666155
6,LIST,-73.932482,40.666177
5,GLTR,-73.932233,40.666164
7,GLTR,-73.932294,40.666166
14,ACPL,-73.932669,40.666188
9,GLTR,-73.932857,40.666197
6,GLTR,-73.933228,40.666219
5,GLTR,-73.93304,40.666208
7,GLTR,-73.933167,40.666216
5,TITO,-73.933415,40.66623
30,PLAC,-73.933541,40.666236
19,ACRU,-73.933664,40.666244
26,PLAC,-73.934717,40.666299
28,PLAC,-73.934825,40.666305
31,PLAC,-73.933603,40.666238
32,PLAC,-73.934554,40.666291
23,PLAC,-73.934717,40.666299
22,PLAC,-73.934771,40.666302
32,PLAC,-73.934933,40.666311
27,PLAC,-73.935041,40.666319
26,PLAC,-73.935308,40.666333
27,ACPL,-73.935095,40.666322
27,ACPL,-73.935149,40.666324
30,PLAC,-73.935362,40.666335
25,ACPL,-73.935956,40.666366
26,PLAC,-73.935938,40.666382
32,PLAC,-73.93547,40.666341
25,PLAC,-73.935902,40.666363
28,PLAC,-73.93605,40.666388
28,PLAC,-73.935992,40.666385
30,PLAC,-73.935773,40.666374
28,PLAC,-73.935661,40.666369
26,PLAC,-73.935549,40.666363
27,PLAC,-73.935827,40.666377
27,PLAC,-73.935719,40.666371
25,PLAC,-73.935441,40.666355
24,PLAC,-73.935275,40.666346
21,PLAC,-73.935218,40.666344
19,ACPL,-73.93494,40.66633
23,PLAC,-73.935383,40.666352
23,PLAC,-73.935163,40.666341
33,PLAC,-73.93494,40.66633
27,PLAC,-73.936011,40.666369
20,PLAC,-73.936169,40.66638
30,PLAC,-73.936331,40.666388
2,,-73.936494,40.666397
7,PYCA,-73.93657,40.665518
18,ACPL,-73.936001,40.665488
31,PLAC,-73.935773,40.665474
8,QUPA,-73.935662,40.665468
6,PYCA,-73.93657,40.665518
6,PYCA,-73.93657,40.665518
29,ACSA1,-73.935889,40.665479
7,QUPA,-73.935716,40.665471
8,QUPA,-73.935204,40.665441
19,ACPL,-73.933751,40.66536
0,,-73.933474,40.665346
8,ZESE,-73.933308,40.665338
28,PLAC,-73.933586,40.665352
16,ACPL,-73.93342,40.665344
2,,-73.933254,40.665335
4,GLTR,-73.933031,40.665324
4,GLTR,-73.932922,40.665319
28,PLAC,-73.932479,40.665294
0,,-73.933088,40.665327
0,,-73.932976,40.665321
0,,-73.932645,40.665302
9,GLTR,-73.931448,40.665444
9,GLTR,-73.931448,40.665444
5,PYCA,-73.932246,40.664374
5,STJA2,-73.932246,40.664374
0,,-73.932538,40.664391
31,PLAC,-73.932682,40.664399
27,PLAC,-73.933118,40.664421
4,TITO,-73.933262,40.664429
4,QUPA,-73.933749,40.664457
5,TITO,-73.932826,40.664407
0,,-73.932974,40.664413
4,QUPA,-73.933796,40.66446
3,ZESE,-73.935194,40.664551
4,ZESE,-73.935194,40.664551
4,ZESE,-73.935194,40.664551
25,FRPE,-73.935194,40.664551
32,PLAC,-73.934913,40.664521
0,,-73.935479,40.664549
5,GLTR,-73.934769,40.664513
25,,-73.935053,40.664527
3,GIBI,-73.935479,40.664549
0,,-73.935479,40.664549
3,PYCA,-73.936547,40.663729
5,LIST,-73.932358,40.663562
15,GIBI,-73.936614,40.66461
3,,-73.936614,40.66461
3,,-73.935479,40.664549
3,,-73.935479,40.664549
2,GIBI,-73.935479,40.664549
3,GIBI,-73.932358,40.663562
2,,-73.936614,40.66461
8,MAPU,-73.93682,40.663742
28,PLAC,-73.932358,40.663562
4,QURU,-73.936547,40.663729
0,,-73.932358,40.663562
27,PLAC,-73.939051,40.664759
3,QURO,-73.936547,40.663729
4,QURU,-73.936547,40.663729
4,QUPA,-73.936547,40.663729
4,GLTR,-73.934092,40.666895
5,QURU,-73.936547,40.663729
4,QUPA,-73.936547,40.663729
6,GLTR,-73.934092,40.666895
3,TITO,-73.934092,40.666895
5,PYCA,-73.93642,40.663704
4,ZESE,-73.93642,40.663704
4,QUPA,-73.93642,40.663704
4,ZESE,-73.93642,40.663704
4,PYCA,-73.93642,40.663704
9,PR,-73.937718,40.663776
23,FAGR,-73.937718,40.663776
23,FAGR,-73.937718,40.663776
5,GLTR,-73.937999,40.66379
4,GLTR,-73.938046,40.663793
13,GLTR,-73.938096,40.663795
10,GLTR,-73.938143,40.663798
4,GLTR,-73.93819,40.663801
30,ULPA,-73.93642,40.663704
0,,-73.93642,40.663704
11,ULPA,-73.93642,40.663704
8,GLTR,-73.93642,40.663704
6,GLTR,-73.936637,40.663718
4,GLTR,-73.936637,40.663718
6,GLTR,-73.936637,40.663718
5,QUPA,-73.937057,40.664712
4,QURU,-73.93647,40.664618
4,QUPA,-73.93647,40.664618
26,PLAC,-73.936376,40.664615
23,PLAC,-73.936283,40.66461
4,KOPA,-73.936045,40.664596
0,,-73.935998,40.664593
4,PYCA,-73.935904,40.66459
5,PYCA,-73.935857,40.664587
4,PYCA,-73.93576,40.664582
23,PLAC,-73.935381,40.664562
18,ACPL,-73.935573,40.664571
4,ZESE,-73.935194,40.664551
21,FRPE,-73.935194,40.664551
3,ACPL,-73.933893,40.664482
5,ZESE,-73.933893,40.664482
5,ZESE,-73.933893,40.664482
4,ZESE,-73.933893,40.664482
5,ZESE,-73.933893,40.664482
4,GLTR,-73.933893,40.664482
4,QUPA,-73.933262,40.664446
3,QUPA,-73.933262,40.664446
4,QUPA,-73.933262,40.664446
9,PI2,-73.933262,40.664446
4,GLTR,-73.933359,40.664451
4,TITO,-73.937859,40.663801
3,QUPA,-73.933262,40.664446
4,PRCE,-73.932585,40.66441
3,GLTR,-73.932339,40.664396
5,GLTR,-73.932195,40.664388
16,ULAM,-73.937859,40.663801
12,STJA2,-73.937134,40.664152
4,STJA2,-73.937112,40.664377
4,BE,-73.93749,40.664657
18,PLAC,-73.93515,40.665421
21,ACPL,-73.935208,40.665424
21,PLAC,-73.935319,40.665432
15,ACPL,-73.935435,40.665438
15,ACPL,-73.935038,40.665416
37,PLAC,-73.935377,40.665435
23,PLAC,-73.935492,40.665441
3,QUPA,-73.935831,40.66546
18,GLTR,-73.935889,40.665463
12,ACPL,-73.935889,40.665463
